"date","time","size","version","os","country","ip_id"
"2020-04-26","19:51:22",278559,"4.0.0","osx","US",60
"2020-04-26","19:51:30",88043429,"4.0.0","osx","US",4
"2020-04-26","19:51:41",88043429,"4.0.0","osx","US",4
"2020-04-26","19:51:53",33174488,"4.0.0","src","US",61
"2020-04-26","19:51:51",87662660,"4.0.0","win",NA,5
"2020-04-26","19:52:02",87665919,"4.0.0patched","win","US",39
"2020-04-26","19:52:15",88146007,"4.0.0","osx",NA,5
"2020-04-26","19:52:08",87564166,"4.0.0","win","GB",62
"2020-04-26","19:52:15",87564155,"4.0.0","win","SE",63
"2020-04-26","19:52:23",87564162,"4.0.0","win","BR",64
"2020-04-26","19:52:35",87660904,"4.0.0","win","AR",65
"2020-04-26","19:52:33",87661640,"4.0.0","win","MK",66
"2020-04-26","19:52:45",87564167,"4.0.0","win","US",67
"2020-04-26","19:53:00",81774920,"3.6.3","osx","US",4
"2020-04-26","19:53:20",87564156,"4.0.0","win","US",68
"2020-04-26","19:53:18",87661390,"4.0.0","win","CO",69
"2020-04-26","19:53:31",87660688,"4.0.0","win","RO",70
"2020-04-26","19:53:31",87564161,"4.0.0","win","US",71
"2020-04-26","19:53:38",87564167,"4.0.0","win",NA,5
"2020-04-26","19:53:42",88140079,"latest","osx","US",2
"2020-04-26","19:53:38",87564165,"4.0.0","win","SE",63
"2020-04-26","08:28:50",87564162,"4.0.0","win","US",72
"2020-04-26","08:28:40",87660514,"4.0.0","win","IN",73
"2020-04-26","08:28:46",81774921,"3.6.3","osx","US",4
"2020-04-26","08:28:52",87662613,"4.0.0","win","CN",74
"2020-04-26","08:28:55",87564156,"4.0.0","win",NA,5
"2020-04-26","08:29:10",87564166,"4.0.0","win","BF",75
"2020-04-26","08:29:05",1065717,"4.0.0","win","ID",76
"2020-04-26","08:29:23",74889294,"3.3.3","osx","US",2
"2020-04-26","08:29:16",13248248,"4.0.0","win",NA,5
"2020-04-26","08:29:38",87660363,"4.0.0","win",NA,5
"2020-04-26","08:29:39",3378679,"4.0.0","win","ID",76
"2020-04-26","08:29:53",1754678,"3.6.0","osx",NA,5
"2020-04-26","08:30:07",1049304,"4.0.0","win","EG",77
